description,category
IndiGo ride to airport bought for home use,travel
Home Centre,home
Apollo Pharmacy,health
Mi Store purchase,electronics
salary credited,salary
emi deducted - Gift Shop - anniversary gift shopping,gifts
gift box chocolates,gifts
bank transfer to friend,finance
Netflix annual plan purchased from nearby store,subscription
water bill payment,utilities
Amazon - USB-C cable purchased from nearby store,electronics
renewed subscription - Rs 1200,subscription
dinner at Cafe Coffee Day with friends,food
sephora - sunskreen spf 50,personal_care
flight ticket to delhi,travel
took ola share - Ikea - Rs 499,home
bus ticket to city,travel
train booking via IRCTC bought for home use,travel
NEFT received,finance
"Local Kirana - milk, eggs, vegetables",groceries
McDonald's,food
Amazon purchase - bluetooth headphone bought for home use,electronics
home decor items,home
anti ageing serum purchase got it during sale,personal_care
new bedsheet purchase from Home Centre purchased from nearby store - Rs 1200,home
"Reliance Fresh - milk, eggs, vegetables purchased from nearby store",groceries
TataCliq,electronics
face wash and moisturizer from Sephora,personal_care
car wash and cleaning,auto
new backpack from Myntra,shopping
Stationery Shop,education
Coursera - python course got it during sale - Rs 999,education
Lifestyle online,shopping
Dominos - dinner at Dominos with friends,food
YouTube Premium monthly subscription purchased from nearby store,subscription
NEFT - wallet topup NEFT,finance
monthly groceries from DMart bought for home use,groceries
anniversary gift shopping,gifts
exam form fee purchased from nearby store,education
flight ticket to delhi - Rs 499,travel
Zara - new backpack from Zara,shopping
fruits and veg purchase at Nature's Basket,groceries
BookMyShow movie ticket,entertainment
Ola ride to airport,travel
rent payment to landlord,rent
new bedsheet purchase from Local Home Store got it during sale,home
exam form fee purchased from nearby store,education
bus ticket to city,travel
new bedsheet purchase from Local Home Store,home
new bedsheet purchase from Ikea,home
Netflix monthly subscription,subscription
Beauty Store,personal_care
game purchase on Steam paid for - Rs 499,entertainment
bus tickt to city,travel
dinner at Food Stall with friends,food
college fee payment bought because needed,education
kitchen utensils from Ikea,home
stationery purchase at Stationery Shop - Rs 299,education
bhai petrol bharwaya - upi payment,finance
ACME Corp Salary - freelance payment client xyz,salary
face wash and moisturizer from Beauty Store got it during sale,personal_care
engine oil change at Car Service Center,auto
Steam movie ticket purchased from nearby store,entertainment
upi payment,finance
Ola - Ola ride to airport,travel
Credit Card Payment - maintenance charges for flat,bills
Jio electricity bill,utilities
bus ticket to city ordered online,travel
Loan EMI - maintenance charges for flat,bills
"Grofers - milk, eggs, vegetables",groceries
home decor items,home
paid bhaiya for delivery - bank transfer to friend,finance
Practo,health
took ola share - doctor consult - fever,health
concert ticket booking bought for home use,entertainment
Home Centre - floor cleaner and mop,home
maintenance charges for flat bought because needed,bills
BookMyShow movie ticket,entertainment
water bill payment purchased from nearby store,utilities
College Fee - python course purchased from nearby store,education
IRCTC ride to airport paid for,travel
monthly groceries from Spencer's,groceries
fruits and veg purchase at Nature's Basket,groceries
Bikeman Garage - petrol full tank,auto
gift box chocolates purchased from nearby store,gifts
new backpack from H&M,shopping
Samsung Shop,electronics
Zara online,shopping
bike service at Car Service Center,auto
flight ticket to delhi purchased from nearby store,travel
NEFT - wallet topup NEFT,finance
College Fee - python course,education
youube premium monthly subscrption bought because needed,subscription
internet recharge via Jio ordered online,utilities
engine oil change at Bikeman Garage got it during sale,auto
birthday gift for friend purchased from nearby store,gifts
BookMyShow movie ticket,entertainment
Dominos order,food
Spotify - Spotify monthly subscription,subscription
home decor items purchased from nearby store,home
monthly groceries from DMart,groceries
loan EMI deduction bought for home use,bills
Ikea - new bedsheet purchase from Ikea,home
bought flowers from Flower Store bought because needed,gifts
perfume Nykaa,personal_care
bike service at HP Petrolpump ordered online,auto
anniversary gift shopping purchased from nearby store,gifts
NEFT received,finance
college fee payment purchased from nearby store,education
Swiggy - pizza for dinner,food
internet recharge via Jio got it during sale,utilities
got cashback from paytm - bonus credited,salary
face wash and moisturizer from Beauty Store - Rs 999,personal_care
Beauty Store,personal_care
McDonald's order - Rs 1200,food
dinner at Zomato with friends - Rs 150,food
home decor items bought for home use,home
engine oil change at Car Service Center,auto
flight ticket to delhi,travel
flight ticket to delhi bought because needed,travel
Bikeman Garage - petrol full tank,auto
H&M online - summer dress purchased from nearby store,shopping
"bread, butter, cereal from DMart",groceries
membership renewal YouTube Premium,subscription
doctor consult,health
ordered power bank from Amazon paid for,electronics
invoice paid - Rs 1200,salary
Home Centre - floor cleaner and mop,home
concert tkt booking,entertainment
Big Bazaar,groceries
paid bhaiya for delivery - Udemy - stationery purchase at Udemy,education
bought flowers from Flower Store bought because needed - Rs 1200,gifts
car wash and cleaning,auto
mumma grocery - bank transfer to friend bought for home use,finance
apartment rent monthly,rent
college canteen maggi - Loan EMI - credit card repayment - Rs 100,bills
lab test at Healthcare Clinic - Rs 499,health
late night snack from Swiggy,food
stationery purchase at Stationery Shop - Rs 100,education
renewed subscription - Spotify,subscription
Coursera - college fee payment - Rs 1200,education
BookMyShow - ott subscription rental,entertainment
face wash and moisturizer from Sephora,personal_care
kitchen utensils from Local Home Store,home
Lifestyle online,shopping
Practo - lab test at Practo,health
membership renewal Netflix,subscription
stationery purchase at Udemy bought for home use,education
Jio - internet recharge via Jio,utilities
MedPlus,health
maintenance charges for flat ordered online,bills
late fee payment,bills
stationery purchase at Udemy bought because needed,education
doctor consult - Rs 1200,health
credit card repayment,bills
home decor items,home
Apollo Pharmacy - paracetamol and vitamins,health
gift box chocolates,gifts
Flipkart - tempered glass screen protector,electronics
bought T,shopping
Local Home Store,home
bike service at Car Service Center,auto
Big Bazaar - fruits and veg purchase at Big Bazaar - Rs 199,groceries
face wash and moisturizer from Local Pharmacy,personal_care
late fee payment purchased from nearby store,bills
bought flowers from Godrej Gift got it during sale,gifts
Godrej Gift - bought flowers from Godrej Gift - Rs 999,gifts
Shell Fuel - petrol full tank,auto
Water Supply - mobile postpaid bill Water Supply,utilities
BookMyShow movie ticket purchased from nearby store - Rs 199,entertainment
fruits and veg purchase at DMart,groceries
security deposit for rent,rent
HP Petrolpump - bike service at HP Petrolpump - Rs 199,auto
new backpack from Local Mall paid for,shopping
Home Centre - new bedsheet purchase from Home Centre - Rs 150,home
Credit Card Payment - credit card repayment,bills
train booking via IRCTC,travel
Water Supply electricity bill - Rs 999,utilities
car wash and cleaning,auto
new bedsheet purchase from Home Centre,home
concert ticket booking paid for,entertainment
Ajio - sneakers purchase - Rs 100,shopping
took ola share - bread,groceries
Bikeman Garage - bike service at Bikeman Garage,auto
BookMyShow movie ticket purchased from nearby store,entertainment
Amazon Prime monthly subscription,subscription
KFC - pizza for dinner,food
fruits and veg purchase at Spencer's - Rs 499,groceries
Coursera,education
Beauty Store,personal_care
college fee payment got it during sale,education
rent payment to landlord,rent
bike service at Bikeman Garage purchased from nearby store,auto
bread,groceries
Jio electricity bill,utilities
breakfast - paratha and chai,food
Credit Card Payment - maintenance charges for flat,bills
water bill payment bought for home use,utilities
PhonePe - upi payment,finance
NEFT - wallet topup NEFT,finance
doctor consult - fever bought because needed,health
bonus credited - Rs 1200,salary
recharge jio - credit card repayment ordered online,bills
college canteen maggi - HP Petrolpump - Rs 50,auto
game purchase on BookMyShow purchased from nearby store,entertainment
game purchase on Play Store paid for,entertainment
Apollo Pharmacy,health
H&M - Rs 249,shopping
Pizza Hut order,food
gave tip to bhaiya - Udemy - exam form fee,education
Lifestyle - sneakers purchase bought for home use,shopping
NEFT received purchased from nearby store,finance
concert ticket booking,entertainment
flight ticket to delhi,travel
ott subscriptn rental,entertainment
lab test at MedPlus,health
concert ticket booking bought for home use,entertainment
Cafe Coffee Day order,food
bought flowers from Flower Store paid for,gifts
mobile postpaid bill Electricity Board,utilities
game purchase on Steam bought for home use,entertainment
House Rent - house rent for september,rent
face wash and moisturizer from Beauty Store paid for,personal_care
gave tip to bhaiya - internet recharge via Water Supply - Rs 150,utilities
NEFT - NEFT received,finance
dinner at Zomato with friends,food
rent payment to landlord - Rs 100,rent
TataCliq,electronics
Amazon purchase - bluetooth headphone purchased from nearby store,electronics
IRCTC - IRCTC ride to airport,travel
YouTube Premium annual plan paid for,subscription
kitchen utensils from Ikea,home
Ola ride to airport,travel
lab test at Apollo Pharmacy ordered online,health
doctor consult - fever ordered online,health
